"PC","ExplainedVariance","CumulativeVariance"
"PC1",3.87143151653285,3.87143151653285
"PC2",1.39253501512795,5.2639665316608
"PC3",1.24421945307462,6.50818598473541
"PC4",0.824661182930456,7.33284716766587
"PC5",0.778504322161014,8.11135148982688
"PC6",0.566083644985402,8.67743513481229
"PC7",0.497064480177762,9.17449961499005
"PC8",0.42618925794855,9.6006888729386
"PC9",0.384948940804131,9.98563781374273
"PC10",0.380926285834349,10.3665640995771
"PC11",0.358656984414382,10.7252210839915
"PC12",0.329750321702234,11.0549714056937
"PC13",0.281972653259345,11.336944058953
"PC14",0.274550634615101,11.6114946935681
"PC15",0.261648848016705,11.8731435415848
"PC16",0.255938117470005,12.1290816590549
"PC17",0.252399389643919,12.3814810486988
"PC18",0.234530518709737,12.6160115674085
"PC19",0.225246591173935,12.8412581585824
"PC20",0.218203246653244,13.0594614052357
"PC21",0.21791017699744,13.2773715822331
"PC22",0.209374788573938,13.4867463708071
"PC23",0.201015155770308,13.6877615265774
"PC24",0.200173765390279,13.8879352919677
"PC25",0.19795454227941,14.0858898342471
"PC26",0.189986313619382,14.2758761478664
"PC27",0.184434583945354,14.4603107318118
"PC28",0.18397072781019,14.644281459622
"PC29",0.183710435675484,14.8279918952975
"PC30",0.177875546530418,15.0058674418279
"PC31",0.175780354504357,15.1816477963322
"PC32",0.171283994939546,15.3529317912718
"PC33",0.169533309406565,15.5224651006784
"PC34",0.169194784184392,15.6916598848628
"PC35",0.165552440644255,15.857212325507
"PC36",0.164722202331318,16.0219345278383
"PC37",0.162340250784305,16.1842747786226
"PC38",0.161050362734753,16.3453251413574
"PC39",0.160588782713642,16.505913924071
"PC40",0.159610522473833,16.6655244465449
"PC41",0.159004265824092,16.8245287123689
"PC42",0.157739196525342,16.9822679088943
"PC43",0.15748542386529,17.1397533327596
"PC44",0.155077366930005,17.2948306996896
"PC45",0.154362461251792,17.4491931609414
"PC46",0.152791798996241,17.6019849599376
"PC47",0.152332200058842,17.7543171599965
"PC48",0.151601951126251,17.9059191111227
"PC49",0.151178924016059,18.0570980351388
"PC50",0.149664697529711,18.2067627326685
"PC51",0.149489383947313,18.3562521166158
"PC52",0.147002731089801,18.5032548477056
"PC53",0.146272396395265,18.6495272441009
"PC54",0.14533446017471,18.7948617042756
"PC55",0.144486928091376,18.9393486323669
"PC56",0.143620530951234,19.0829691633182
"PC57",0.141752322152414,19.2247214854706
"PC58",0.141566145237489,19.3662876307081
"PC59",0.141132763623103,19.5074203943312
"PC60",0.14066964563446,19.6480900399656
"PC61",0.140519736003797,19.7886097759694
"PC62",0.139570871731105,19.9281806477006
"PC63",0.138556932320846,20.0667375800214
"PC64",0.13810770136834,20.2048452813897
"PC65",0.137436324812821,20.3422816062026
"PC66",0.13623515461636,20.4785167608189
"PC67",0.135898095837886,20.6144148566568
"PC68",0.135659573724533,20.7500744303813
"PC69",0.134807969420394,20.8848823998017
"PC70",0.134552659894136,21.0194350596959
"PC71",0.134381456533607,21.1538165162295
"PC72",0.133808282845369,21.2876247990748
"PC73",0.133191570803636,21.4208163698785
"PC74",0.13303575356029,21.5538521234388
"PC75",0.132388096722228,21.686240220161
"PC76",0.132304557678948,21.8185447778399
"PC77",0.131814037340201,21.9503588151801
"PC78",0.131000063414627,22.0813588785948
"PC79",0.130611584706802,22.2119704633016
"PC80",0.130378448072858,22.3423489113744
"PC81",0.12993203559933,22.4722809469738
"PC82",0.129464775945993,22.6017457229198
"PC83",0.129160861828992,22.7309065847487
"PC84",0.128454203782629,22.8593607885314
"PC85",0.128150686236308,22.9875114747677
"PC86",0.127660477033414,23.1151719518011
"PC87",0.127194678454723,23.2423666302558
"PC88",0.127094137890274,23.3694607681461
"PC89",0.126421540515854,23.4958823086619
"PC90",0.126175071171091,23.622057379833
"PC91",0.12586519168366,23.7479225715167
"PC92",0.125765904611256,23.873688476128
"PC93",0.125078477347284,23.9987669534752
"PC94",0.124683126027905,24.1234500795031
"PC95",0.124294431093189,24.2477445105963
"PC96",0.12424331868644,24.3719878292828
"PC97",0.123703884712028,24.4956917139948
"PC98",0.12338278603396,24.6190745000288
"PC99",0.123366304092766,24.7424408041215
"PC100",0.122879023730965,24.8653198278525
"PC101",0.122726357855886,24.9880461857084
"PC102",0.122087921238094,25.1101341069465
"PC103",0.121993467262719,25.2321275742092
"PC104",0.121554548175919,25.3536821223851
"PC105",0.121327608577506,25.4750097309626
"PC106",0.12126967270991,25.5962794036725
"PC107",0.120388877269642,25.7166682809422
