PC,ExplainedVariance,CumulativeVariance
1,4.448660766393863,4.448660766393863
2,2.3241871998816186,6.7728479662754815
3,1.2251963220885926,7.998044288364074
4,1.086222504588583,9.084266792952658
5,0.7859222702984097,9.870189063251066
6,0.5965788841987555,10.466767947449823
7,0.5502249703548983,11.016992917804721
8,0.4246204153304231,11.441613333135145
9,0.41524615746093335,11.856859490596078
10,0.3755228268727933,12.23238231746887
11,0.3694871846825033,12.601869502151374
12,0.32701859655730325,12.928888098708677
13,0.2857540846472996,13.214642183355977
14,0.2776730744317865,13.492315257787764
15,0.26246517843447764,13.75478043622224
16,0.2551622069589213,14.009942643181162
17,0.2520845163340832,14.262027159515245
18,0.23141154076460538,14.493438700279851
19,0.2244888469774115,14.717927547257263
20,0.2207079835606017,14.938635530817864
21,0.21522796686352283,15.153863497681387
22,0.20648970232857905,15.360353200009966
23,0.2052252574850413,15.565578457495008
24,0.19751733489195086,15.763095792386958
25,0.1967571065456281,15.959852898932587
26,0.18890087366580693,16.148753772598393
27,0.18339994728841627,16.332153719886808
28,0.18169084794560916,16.513844567832418
29,0.18135614965759983,16.695200717490017
30,0.17650885047456705,16.871709567964587
31,0.17365176642731414,17.0453613343919
32,0.1706499933787438,17.216011327770644
33,0.1683258527149465,17.38433718048559
34,0.16710044777563507,17.551437628261226
35,0.16568692137567323,17.7171245496369
36,0.16285640390573247,17.87998095354263
37,0.16007614578788684,18.040057099330518
38,0.1588299076190472,18.198887006949565
39,0.1585082301100521,18.357395237059617
40,0.15727917515930573,18.514674412218923
41,0.1564717305317184,18.67114614275064
42,0.15540732084933478,18.826553463599975
43,0.1548238900798626,18.98137735367984
44,0.15427917970306376,19.135656533382903
45,0.15196279000722407,19.287619323390125
46,0.1508893306989957,19.438508654089123
47,0.15031532807112108,19.588823982160243
48,0.14997192565836415,19.738795907818606
49,0.14899201839648615,19.887787926215093
50,0.14840718586743937,20.03619511208253
51,0.1470634730930961,20.18325858517563
52,0.14618042803118214,20.329439013206812
53,0.1437915527647902,20.4732305659716
54,0.14347799226643365,20.616708558238034
55,0.14207888051360196,20.758787438751636
56,0.14171835651823592,20.900505795269872
57,0.14110642128344994,21.04161221655332
58,0.13944864402550108,21.181060860578825
59,0.13899220253561076,21.320053063114436
60,0.13829775822865265,21.458350821343085
61,0.13809004293959243,21.59644086428268
62,0.13751493383476066,21.73395579811744
63,0.13696805241604942,21.87092385053349
64,0.13614845347360746,22.007072304007096
65,0.13579728473170702,22.142869588738805
66,0.13475587943138503,22.27762546817019
67,0.13393951538810703,22.411564983558296
68,0.1337113284422253,22.54527631200052
69,0.13290873376268886,22.67818504576321
70,0.13226265460871486,22.810447700371924
71,0.1318404812261694,22.942288181598094
72,0.1318139400272737,23.07410212162537
73,0.130920914170818,23.205023035796184
74,0.13057888708545767,23.335601922881644
75,0.13027513297622112,23.465877055857867
76,0.12989110394369044,23.595768159801555
77,0.1296920900563976,23.725460249857953
78,0.129306557231023,23.854766807088975
79,0.12873141939776184,23.983498226486738
80,0.12834271163267152,24.11184093811941
81,0.12758510986418015,24.23942604798359
82,0.12709546878933597,24.366521516772927
